Year,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBR,TEX,TOR,WSN,FLA,TBD,ANA,MON,CAL,MLB_Avg,AL_Avg,NL_Avg
1990,,168,183,178,164,181,162,165,,179,168,170,,171,,176,161,172,177,174,172,168,166,172,170,167,,177,176,,,,,174,178,171.88,172.49,172.18
1991,,172,182,179,171,187,168,166,,186,173,175,,179,,177,167,174,180,182,170,168,167,174,170,165,,185,175,,,,,173,173,174.54,173.61,173.09
1992,,170,184,181,165,178,168,175,,182,174,167,,174,,177,173,176,180,183,168,171,166,174,171,171,,181,180,,,,,174,171,174.38,174.31,173.75
1993,,169,183,179,163,173,161,176,171,187,168,168,,177,,175,170,164,178,182,174,164,167,172,171,165,,178,175,,172,,,172,173,172.39,171.96,172.10
1994,,168,191,186,174,185,173,188,174,189,174,172,,179,,183,177,172,186,181,171,165,171,177,173,171,,192,178,,170,,,178,184,177.93,176.46,176.10
1995,,161,183,177,174,180,168,182,172,175,180,172,,174,,177,174,169,181,181,168,167,166,182,171,162,,179,180,,169,,,169,185,174.21,173.55,173.34
1996,,164,188,185,173,180,170,186,177,180,174,169,,176,,182,176,167,183,179,167,169,174,182,173,172,,181,169,,170,,,173,183,175.79,174.52,174.45
1997,,168,188,181,172,181,166,180,175,178,175,178,,176,,175,176,172,191,183,171,167,178,180,177,171,,177,171,,176,,186,166,,176.25,176.15,175.39
1998,163,162,182,173,175,173,166,179,166,171,174,170,,166,,171,178,176,186,176,169,161,164,175,176,174,,176,177,,171,176,178,162,,172.20,173.08,172.02
1999,174,169,178,174,173,175,174,189,173,174,175,180,,178,,184,177,182,191,184,175,169,168,183,185,181,,176,178,,172,180,172,168,,177.03,177.56,176.37
2000,174,174,181,182,180,183,180,192,181,181,182,181,,183,,184,179,184,189,188,179,177,177,188,181,181,,186,180,,179,178,185,171,,181.33,181.52,180.86
2001,178,173,179,184,176,177,178,186,182,172,178,173,,180,,175,176,182,189,183,175,168,179,183,186,177,,184,179,,173,172,177,171,,178.17,178.51,177.58
2002,179,178,175,173,177,169,178,173,179,165,175,174,,175,,171,174,181,189,181,181,169,173,178,182,176,,185,175,,180,171,179,175,,176.33,178.21,177.30
2003,172,174,170,177,171,164,170,163,169,159,170,166,,166,,170,167,172,180,166,178,169,173,168,172,174,,174,171,,170,165,167,169,,169.87,171.12,170.47
2004,166,170,180,179,169,161,173,175,171,166,172,167,,171,,175,168,179,179,174,179,168,166,175,175,172,,171,165,,165,166,172,171,,171.33,171.77,170.81
2005,176,166,173,181,165,169,173,171,168,164,163,168,170,170,,173,163,170,182,165,171,166,167,167,166,168,,172,166,175,169,168,,,,169.50,169.43,168.50
2006,172,170,173,188,170,169,170,174,171,166,174,176,168,173,,172,166,174,188,167,176,168,170,167,166,171,,169,172,177,171,168,,,,171.87,171.72,170.40
2007,173,173,179,189,170,173,172,182,176,180,175,177,171,174,,173,168,177,194,173,183,167,168,169,170,174,,179,172,175,176,180,,,,175.40,175.49,174.06
2008,172,172,178,186,175,171,175,181,174,180,172,174,167,177,,175,173,182,185,168,175,174,172,167,173,174,182,182,171,170,176,,,,,175.10,175.07,173.87
2009,176,174,172,186,172,166,178,181,177,170,171,174,176,188,,180,176,175,191,170,176,169,175,166,169,168,181,171,176,175,180,,,,,175.30,174.49,173.27
2010,178,176,173,190,170,167,176,174,180,174,169,171,174,181,,183,171,177,189,164,174,172,176,163,172,172,182,177,168,177,175,,,,,174.83,174.19,172.93
2011,173,176,174,193,178,169,183,176,183,180,176,174,173,182,,176,170,179,188,173,172,180,172,166,174,175,178,175,175,177,178,,,,,176.60,175.91,174.82
2012,178,175,180,189,178,174,180,178,186,179,182,177,177,185,177,188,179,176,187,182,176,181,176,176,182,181,186,180,178,183,,,,,,180.20,180.30,180.12
2013,188,179,181,195,187,182,188,183,185,186,192,175,192,187,177,183,186,188,185,185,179,186,180,184,185,181,191,184,175,177,,,,,,184.20,183.16,182.64
2014,183,184,187,197,192,188,183,192,192,194,190,182,195,194,185,187,187,188,192,185,189,189,181,179,185,183,199,186,181,185,,,,,,187.80,186.41,185.86
2015,190,175,175,186,182,180,182,180,186,189,183,180,180,183,171,181,177,176,188,181,178,186,181,181,182,179,179,184,173,174,,,,,,180.73,180.20,179.92
