Tm,Miles,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers,Year,Wins,Salary
ARI,34262,,,,,,,,,,,,2009,70,73571667
ATL,28599,,,,,,,,,,,,2009,86,96726167
BAL,29061,,,,,,,,,,,,2009,64,67101667
BOS,27403,,,,,,,,,,,,2009,95,122696000
CHC,29597,,,,,,,,,,,,2009,83,135050000
CHW,24188,,,,,,,,,,,,2009,79,96068500
CIN,33940,,,,,,,,,,,,2009,78,70968500
CLE,23677,,,,,,,,,,,,2009,65,81625567
COL,29712,,,,,,,,,,,,2009,92,75201000
DET,28492,,,,,,,,,,,,2009,86,115085145
HOU,33451,,,,,,,,,,,,2009,74,102996415
KCR,25877,,,,,,,,,,,,2009,65,70908333
LAA,42828,,,,,,,,,,,,2009,97,113709000
LAD,39552,,,,,,,,,,,,2009,95,100458101
MIA,34261,,,,,,,,,,,,2009,87,36814000
MIL,22883,,,,,,,,,,,,2009,80,80257502
MIN,25315,,,,,,,,,,,,2009,87,65299267
NYM,30874,,,,,,,,,,,,2009,70,135773988
NYY,31243,,,,,,,,,,,,2009,103,201449289
OAK,44344,,,,,,,,,,,,2009,75,62310000
PHI,32499,,,,,,,,,,,,2009,93,113004048
PIT,30008,,,,,,,,,,,,2009,62,48743000
SDP,36919,,,,,,,,,,,,2009,75,42796700
SEA,46383,,,,,,,,,,,,2009,85,98904167
SFG,38100,,,,,,,,,,,,2009,88,82161450
STL,27416,,,,,,,,,,,,2009,91,88528411
TBR,36773,,,,,,,,,,,,2009,84,63313035
TEX,38501,,,,,,,,,,,,2009,87,68646023
TOR,30044,,,,,,,,,,,,2009,75,80993657
WSN,24883,,,,,,,,,,,,2009,59,59328000
ARI,33997,,,,,,,,,,,,2010,65,60718167
ATL,28019,,,,,,,,,,,,2010,91,84423667
BAL,33432,,,,,,,,,,,,2010,66,81612500
BOS,28619,,,,,,,,,,,,2010,89,162747333
CHC,28396,,,,,,,,,,,,2010,75,146859000
CHW,23016,,,,,,,,,,,,2010,88,108273197
CIN,36348,,,,,,,,,,,,2010,91,72386544
CLE,24495,,,,,,,,,,,,2010,69,61203967
COL,30738,,,,,,,,,,,,2010,83,84227000
DET,25189,,,,,,,,,,,,2010,81,122864929
HOU,31144,,,,,,,,,,,,2010,76,92355500
KCR,29404,,,,,,,,,,,,2010,67,72267710
LAA,49433,,,,,,,,,,,,2010,80,105013667
LAD,36087,,,,,,,,,,,,2010,80,93540753
MIA,35410,,,,,,,,,,,,2010,80,55641500
MIL,25835,,,,,,,,,,,,2010,77,81108279
MIN,27398,,,,,,,,,,,,2010,94,97559167
NYM,29811,,,,,,,,,,,,2010,79,132701445
NYY,32952,,,,,,,,,,,,2010,95,206333389
OAK,48446,,,,,,,,,,,,2010,81,51654900
PHI,26649,,,,,,,,,,,,2010,97,141927381
PIT,32366,,,,,,,,,,,,2010,57,34943000
SDP,39464,,,,,,,,,,,,2010,90,37799300
SEA,44405,,,,,,,,,,,,2010,61,98376667
SFG,40838,,,,,,,,,,,,2010,92,97828833
STL,28496,,,,,,,,,,,,2010,86,95540753
TBR,36695,,,,,,,,,,,,2010,96,71923471
TEX,35007,,,,,,,,,,,,2010,90,55250545
TOR,30574,,,,,,,,,,,,2010,85,62689357
WSN,26148,,,,,,,,,,,,2010,69,61425500
ARI,32528,,,,,,,,,,,,2011,94,71892471
ATL,33213,,,,,,,,,,,,2011,89,100352830
BAL,28022,,,,,,,,,,,,2011,69,94663071
BOS,24091,,,,,,,,,,,,2011,90,180688261
CHC,24290,,,,,,,,,,,,2011,71,142127698
CHW,28277,,,,,,,,,,,,2011,79,130753749
CIN,31502,,,,,,,,,,,,2011,79,82130546
CLE,30375,,,,,,,,,,,,2011,80,56351973
COL,32230,,,,,,,,,,,,2011,73,84662170
DET,28645,,,,,,,,,,,,2011,95,112473915
HOU,33325,,,,,,,,,,,,2011,56,89656170
KCR,27827,,,,,,,,,,,,2011,71,40693273
