Team,Year,Wins,ERA,Runs,Salary,RunsTimesTwo,RunsTimesFive,RunsTimesTen,RunsTimesHundred,RunsTimesThousand,RunsTimes100k,RunsTimesMillion
ARI,2015,79,4.04,720,76781801.00,1440,3600,7200,72000,720000,72000000,720000000
ATL,2015,67,4.41,573,110981246.00,1146,2865,5730,57300,573000,57300000,573000000
BAL,2015,81,4.04,713,117784476.00,1426,3565,7130,71300,713000,71300000,713000000
BOS,2015,78,4.31,748,214981478.00,1496,3740,7480,74800,748000,74800000,748000000
CHC,2015,97,3.36,689,132993810.00,1378,3445,6890,68900,689000,68900000,689000000
CHW,2015,76,3.98,622,118875487.00,1244,3110,6220,62200,622000,62200000,622000000
CIN,2015,64,4.33,640,112676976.00,1280,3200,6400,64000,640000,64000000,640000000
CLE,2015,81,3.67,669,77404413.00,1338,3345,6690,66900,669000,66900000,669000000
COL,2015,68,5.04,737,106860781.00,1474,3685,7370,73700,737000,73700000,737000000
DET,2015,74,4.64,689,162160921.00,1378,3445,6890,68900,689000,68900000,689000000
HOU,2015,86,3.57,729,81450835.00,1458,3645,7290,72900,729000,72900000,729000000
KCR,2015,95,3.73,724,126560340.00,1448,3620,7240,72400,724000,72400000,724000000
LAA,2015,85,3.94,661,151348162.00,1322,3305,6610,66100,661000,66100000,661000000
LAD,2015,92,3.44,667,301735080.00,1334,3335,6670,66700,667000,66700000,667000000
MIA,2015,71,4.02,613,63590525.00,1226,3065,6130,61300,613000,61300000,613000000
MIL,2015,68,4.28,655,94010873.00,1310,3275,6550,65500,655000,65500000,655000000
MIN,2015,83,4.07,696,106431818.00,1392,3480,6960,69600,696000,69600000,696000000
NYM,2015,90,3.43,683,115698927.00,1366,3415,6830,68300,683000,68300000,683000000
NYY,2015,87,4.04,764,222528373.00,1528,3820,7640,76400,764000,76400000,764000000
OAK,2015,68,4.14,694,80376830.00,1388,3470,6940,69400,694000,69400000,694000000
PHI,2015,63,4.69,626,141722639.00,1252,3130,6260,62600,626000,62600000,626000000
PIT,2015,98,3.21,697,99435606.00,1394,3485,6970,69700,697000,69700000,697000000
SDP,2015,74,4.09,650,127540272.00,1300,3250,6500,65000,650000,65000000,650000000
SEA,2015,76,4.16,656,126045473.00,1312,3280,6560,65600,656000,65600000,656000000
SFG,2015,84,3.72,696,186663630.00,1392,3480,6960,69600,696000,69600000,696000000
STL,2015,100,2.94,647,132178951.00,1294,3235,6470,64700,647000,64700000,647000000
TBR,2015,80,3.74,644,73582652.00,1288,3220,6440,64400,644000,64400000,644000000
TEX,2015,88,4.24,751,152445607.00,1502,3755,7510,75100,751000,75100000,751000000
TOR,2015,93,3.80,891,138309664.00,1782,4455,8910,89100,891000,89100000,891000000
WSN,2015,83,3.62,703,165655095.00,1406,3515,7030,70300,703000,70300000,703000000
ARI,2014,64,3.40,615,108577046.00,1230,3075,6150,61500,615000,61500000,615000000
ATL,2014,79,3.38,573,116008564.00,1146,2865,5730,57300,573000,57300000,573000000
BAL,2014,96,3.43,705,114362943.00,1410,3525,7050,70500,705000,70500000,705000000
BOS,2014,71,4.01,634,173466258.00,1268,3170,6340,63400,634000,63400000,634000000
CHC,2014,73,3.91,614,92664741.00,1228,3070,6140,61400,614000,61400000,614000000
CHW,2014,73,4.29,660,95803236.00,1320,3300,6600,66000,660000,66000000,660000000
CIN,2014,76,3.59,595,113351318.00,1190,2975,5950,59500,595000,59500000,595000000
CLE,2014,85,3.56,669,85969908.00,1338,3345,6690,66900,669000,66900000,669000000
COL,2014,66,4.84,755,96659578.00,1510,3775,7550,75500,755000,75500000,755000000
DET,2014,90,4.01,757,171996220.00,1514,3785,7570,75700,757000,75700000,757000000
HOU,2014,70,4.11,629,51679490.00,1258,3145,6290,62900,629000,62900000,629000000
KCR,2014,89,3.51,651,100758900.00,1302,3255,6510,65100,651000,65100000,651000000
LAA,2014,98,3.58,773,165403251.00,1546,3865,7730,77300,773000,77300000,773000000
LAD,2014,94,4.26,718,246367142.00,1436,3590,7180,71800,718000,71800000,718000000
MIA,2014,77,3.78,645,56671396.00,1290,3225,6450,64500,645000,64500000,645000000
MIL,2014,82,3.67,650,110577046.00,1300,3250,6500,65000,650000,65000000,650000000
MIN,2014,70,4.57,715,87494478.00,1430,3575,7150,71500,715000,71500000,715000000
NYM,2014,79,3.49,629,94478037.00,1258,3145,6290,62900,629000,62900000,629000000
NYY,2014,84,3.75,633,215916731.00,1266,3165,6330,63300,633000,63300000,633000000
OAK,2014,88,3.22,729,93518412.00,1458,3645,7290,72900,729000,72900000,729000000
PHI,2014,73,3.79,619,175061605.00,1238,3095,6190,61900,619000,61900000,619000000
PIT,2014,88,3.47,682,76974115.00,1364,3410,6820,68200,682000,68200000,682000000
SDP,2014,77,3.27,535,88901967.00,1070,2675,5350,53500,535000,53500000,535000000
SEA,2014,87,3.17,634,107034174.00,1268,3170,6340,63400,634000,63400000,634000000
SFG,2014,88,3.50,665,171586782.00,1330,3325,6650,66500,665000,66500000,665000000
STL,2014,90,3.50,619,121567356.00,1238,3095,6190,61900,619000,61900000,619000000
TBR,2014,77,3.56,612,82606546.00,1224,3060,6120,61200,612000,61200000,612000000
TEX,2014,67,4.49,637,139630583.00,1274,3185,6370,63700,637000,63700000,637000000
TOR,2014,83,4.00,723,145851129.00,1446,3615,7230,72300,723000,72300000,723000000
WSN,2014,96,3.03,686,149470982.00,1372,3430,6860,68600,686000,68600000,686000000
ARI,2013,81,3.92,685,90586723.00,1370,3425,6850,68500,685000,68500000,685000000
ATL,2013,96,3.18,688,94947950.00,1376,3440,6880,68800,688000,68800000,688000000
BAL,2013,85,4.20,745,103906638.00,1490,3725,7450,74500,745000,74500000,745000000
BOS,2013,97,3.79,853,174984264.00,1706,4265,8530,85300,853000,85300000,853000000
CHC,2013,66,4.00,602,106796299.00,1204,3010,6020,60200,602000,60200000,602000000
CHW,2013,63,3.98,598,111777595.00,1196,2990,5980,59800,598000,59800000,598000000
CIN,2013,90,3.38,698,105304640.00,1396,3490,6980,69800,698000,69800000,698000000
CLE,2013,92,3.82,745,93472497.00,1490,3725,7450,74500,745000,74500000,745000000
COL,2013,74,4.44,706,79317143.00,1412,3530,7060,70600,706000,70600000,706000000
DET,2013,93,3.61,796,155448539.00,1592,3980,7960,79600,796000,79600000,796000000
