city,Latitude,Longitude,level
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,
Abashiri,44.0206319,144.2733983,52.2
Aburatsu,31.5835837,131.4041797,138.9
Adak,51.88,-176.6580556,-25.1
Antofagasta,-23.6509279,-70.3975022,-67.9
Astoria,46.1878841,-123.8312534,18.5
Atlantic City,39.3642834,-74.4229266,105.5
Balboa,33.607795,-117.924131,10.1
Bluff Harbour,38.1090388,-77.8621501,47.1
Boston,42.3600825,-71.0588801,93.4
Brest,48.390394,-4.486076,128.5
Brisbane,-27.4710107,153.0234489,10.8
Buenaventura,3.8830471,-77.0197212,108.6
Burnett Heads,-24.771243,152.4144098,134.5
Callao,-12.0508491,-77.1259843,25
Cape May,38.9351125,-74.9060053,127.5
Charleston,32.7764749,-79.9310512,54.7
Charlotte Amalie,18.3419004,-64.9307007,87.1
Chesapeake Bay,37.5213728,-76.1050092,149.5
Chichijima,27.0763074,142.2133115,94.4
Christmas Is.,28.5363893,-81.0175609,186.7
Cordova,37.8881751,-4.7793835,10.9
Crescent City,41.7557501,-124.2025913,9.8
Cristobal,40.4684012,-5.8894741,-23.7
Cuxhaven,53.859336,8.6879057,91.9
Darwin,-12.4628271,130.8417772,99.5
Duck Pier,56.005572,-4.5869553,99.1
Durban,-29.8586804,31.0218404,15.5
Dzaoudzi,-12.7809488,45.227872,123.9
East London,51.5073509,-0.1277583,39
Eastport,48.6517638,-53.7578462,62.9
Fernandina Beach,30.6696818,-81.4625919,111.8
Fort-de-France,14.6160647,-61.0587804,87.1
Sydney,-33.8674869,151.2069902,45.3
Fort Pulaski,32.03300,-80.90200,154.2
Fremantle,-32.0560399,115.7471797,57
Galveston,29.3013479,-94.7976958,194.1
Gibraltar,36.140751,-5.353585,86.5
Goteborg-Torshamnen,57.70887,11.97456,8.7
Grand Isle,29.2366172,-89.9872941,171.4
Granger Bay,-33.90000,18.41700,107
Guam,13.444304,144.793731,3.3
Hakodate,41.7687933,140.7288103,-55.7
Halifax,53.72702,-1.85754,71.9
Hamada,34.90000,132.07000,126
Hilo,19.7297222,-155.09,25.4
Honolulu,21.3069444,-157.8583333,7.8
Ishigaki,24.3406606,124.1555804,56.3
Johnston Is.,16.73300,-169.53300,-59.5
Kahului Harbor,20.8988039,-156.466878,34.9
Kaohsiung,22.6272784,120.3014353,-14
