date	MU	Alabama	Auburn	Florida	Georgia	Kentucky	SC	Vanderbilt	Arkansas	LSU	Texas A&M
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1980			2.65		2.85						
1981			2.62		2.81						
1982			2.63		2.80						
1983			2.59		2.77						
1984			2.62		2.79					2.67	
1985			2.67		2.75						2.74
1986			2.64		2.72						2.73
1987			2.70		2.73						2.74
1988			2.69		2.74		2.64			2.77	2.76
1989			2.70	2.75	2.77		2.64				2.79
1990			2.79	2.75	2.76						2.81
1991		2.59	2.81	2.76	2.79					2.84	2.88
1992		2.61	2.78	2.81	2.83				2.76		2.88
1993		2.60	2.77	2.83	2.84				2.84		2.88
1994		2.66	2.77	2.84	2.91		2.76		2.85		2.90
1995		2.66	2.82	2.85	2.95				2.87	2.90	2.92
1996		2.66	2.81	2.92	2.98		2.79		2.87		2.94
1997	2.98	2.65	2.86	2.93	3.02				2.89		2.93
1998	2.98	2.68	2.84	2.96	3.02				2.89		2.93
1999	2.99	2.64	2.86	3.01	3.02				2.91		2.97
2000	2.98	2.68	2.69	3.03	3.10		2.84		2.90		2.98
2001	2.99	2.79	2.74	3.08	3.12				2.93	2.97	2.99
2002	3.01	2.87	2.74	3.11			2.94	3.20	2.92	2.94	2.99
2003	2.99	2.98	2.82	3.11				3.20	2.95	2.98	3.00
2004	2.98	3.05	2.80	3.13				3.23		2.95	2.99
2005	3.02	2.89	2.79	3.14	3.22			3.24		2.93	2.97
2006	3.01	2.90	2.75	3.18	3.21			3.28		2.92	2.97
2007	3.12		2.82	3.19	3.22			3.27		2.91	2.99
2008	3.09		2.88	3.22	3.25		3.09	3.32		2.91	3.01
2009	3.09		2.89	3.30	3.26		3.09			2.95	3.00
2010	3.11	3.01	2.93	3.32	3.27		3.08			2.95	3.03
2011	3.11	3.01	2.99		3.30		3.10			2.94	3.04
2012	3.10	3.06	3.02		3.33	3.08	3.10	3.39		2.94	3.06
2013	3.12	3.07	3.01		3.32	3.08	3.14	3.40		2.92	3.08
2014	3.14	3.07	3.03			3.11	3.18			2.96	
2015	3.18	3.13									
